Both sexes,70 - 74 years,Donegal,6496
Both sexes,70 - 74 years,Monaghan,2105
Both sexes,75 - 79 years,Carlow,1355
Both sexes,75 - 79 years,Dublin City,14161
Both sexes,75 - 79 years,D�n Laoghaire-Rathdown,6930
Both sexes,75 - 79 years,Fingal,4538
Both sexes,75 - 79 years,South Dublin,5396
Both sexes,75 - 79 years,Kildare,3573
Both sexes,75 - 79 years,Kilkenny,2474
Both sexes,75 - 79 years,Laois,1671
Both sexes,75 - 79 years,Longford,972
Both sexes,75 - 79 years,Louth,2923
Both sexes,75 - 79 years,Meath,3531
Both sexes,75 - 79 years,Offaly,1926
Both sexes,75 - 79 years,Westmeath,2089
Both sexes,75 - 79 years,Wexford,4151
Both sexes,75 - 79 years,Wicklow,3300
Both sexes,75 - 79 years,Clare,3061
Both sexes,75 - 79 years,Cork City,4044
Both sexes,75 - 79 years,Cork County,9476
Both sexes,75 - 79 years,Kerry,4427
Both sexes,75 - 79 years,Limerick City and County,5004
Both sexes,75 - 79 years,Tipperary,4384
Both sexes,75 - 79 years,Waterford City and County,3202
Both sexes,75 - 79 years,Galway City,1617
Both sexes,75 - 79 years,Galway County,4622
Both sexes,75 - 79 years,Leitrim,966
Both sexes,75 - 79 years,Mayo,4052
Both sexes,75 - 79 years,Roscommon,1879
Both sexes,75 - 79 years,Sligo,1872
Both sexes,75 - 79 years,Cavan,1818
Both sexes,75 - 79 years,Donegal,4568
Both sexes,75 - 79 years,Monaghan,1485
Both sexes,80 - 84 years,Carlow,908
Both sexes,80 - 84 years,Dublin City,10857
Both sexes,80 - 84 years,D�n Laoghaire-Rathdown,4957
Both sexes,80 - 84 years,Fingal,2810
Both sexes,80 - 84 years,South Dublin,3347
Both sexes,80 - 84 years,Kildare,2270
Both sexes,80 - 84 years,Kilkenny,1758
Both sexes,80 - 84 years,Laois,1194
Both sexes,80 - 84 years,Longford,754
Both sexes,80 - 84 years,Louth,1959
Both sexes,80 - 84 years,Meath,2329
Both sexes,80 - 84 years,Offaly,1385
Both sexes,80 - 84 years,Westmeath,1449
